State,Company Name,Address,Contact Name,Contact Phone,Contact Email,Specialty,Website,Notes,
IN,Hoosier Hills Marina,"10306 E. Lick Fork Marina Rd, Celestine, IN 47521",Victor Polen,812-678-3313,info@hoosierhillsmarina.com,Westerbeke generator dealer & full-service marina (slips up to 100‑ft houseboats),https://hoosierhillsmarina.com,Full‑service marina on Patoka Lake; offers slips up to 100‑ft houseboats and is a Westerbeke generator and boat trailer dealer:contentReference[oaicite:0]{index=0}; BBB lists Victor Polen as owner/manager:contentReference[oaicite:1]{index=1},
IN,JP Marine LLC,"3909 Old Henderson Rd, Evansville, IN 47712",Josh Pritchard,812-602-3333,*,Westerbeke dealer; boat service & storage,https://jpmarinellc.com,"Authorized dealer for Kohler and Westerbeke generators:contentReference[oaicite:2]{index=2}; owner Josh Pritchard works on every boat, including houseboats:contentReference[oaicite:3]{index=3}",
IN,Midwest Lakes Marine LLC,"125 Arrowhead Trail, Bedford, IN 47421",*,812-583-3202,midwestlakesmarine@gmail.com,Westerbeke dealer (full service),*,Listed as a full‑service Westerbeke dealer in the Westerbeke dealers list with limited public information,
IN,Patoka Lake Marina & Lodging,"2991 N. Dillard Rd, Birdseye, IN 47513",Tony Hazelwood,812-685-2203,reservations@patokalakemarina.com,Houseboat rentals & floating cabins,https://www.patokalakemarina.com,Rentals include 4‑ and 6‑bedroom houseboats and floating cabins; contact details from site:contentReference[oaicite:4]{index=4}; BBB lists Tony Hazelwood as manager:contentReference[oaicite:5]{index=5},
IN,W.W. Williams Service (Clarksville),"2237 Koetter Dr, Clarksville, IN 47129",Steve Knutti*,317-759-5084,sknutti@wwwilliams.com,Generator sales & service (Westerbeke service center),https://www.wwwilliams.com,Westerbeke dealer/service provider; address and phone from Westerbeke dealer list and location page; Steve Knutti* is inferred from email (branch contact):contentReference[oaicite:6]{index=6},
IN,S.S. Lillypad,"1116 S. Harkless Dr, Syracuse, IN 46567",Doug Shoemaker,574-529-3300,cruise@sslillypad.com,70‑ft houseboat charter,https://sslillypad.com,70‑ft two‑story houseboat charter on Lake Wawasee; contact phone and email from site:contentReference[oaicite:7]{index=7}; owner Doug Shoemaker confirmed by local news:contentReference[oaicite:8]{index=8},
IN,Hot Tomolly Yacht Charter,"Washington Park Marina, Michigan City, IN 46360*",Captain Tom Dogan,219-763-3777,capt.tom@hottomolly.info,76‑ft motor‑yacht charter,https://hottomolly.info,Charter operates a 76‑ft Lazzara motor yacht; contact details and owner Captain Tom Dogan from site:contentReference[oaicite:9]{index=9}:contentReference[oaicite:10]{index=10},
IN,Cataract Yacht Club,"11874 SR-243, Cloverdale, IN 46120",*,765-795-3700,cataractyachts@gmail.com,Private yacht club with houseboat slips,https://cataractyachtclub.org,Private marina offers 58 boat slips including houseboat slips; contact details on website:contentReference[oaicite:26]{index=26}:contentReference[oaicite:27]{index=27},
KS,none found,,,,,,,,
KY,Unlimited Marine (John & Kim Stivers),"2624 S. Hwy 127, Russell Springs, KY 42642",John Stivers*,270-858-6911,john@unlimitedmarine.com,Westerbeke Dealer/Service,https://www.unlimitedmarine.com,Authorized sales and service dealer for Westerbeke generators; run by John & Kim Stivers:contentReference[oaicite:0]{index=0},
KY,State Dock Marina (Suntex),"6365 State Park Road, Jamestown, KY 42629",Kyle Helm*,270-344-5253,statedock@suntex.com,Houseboat Rentals & Marina,https://www.statedock.com,Large houseboat rental and management company at Lake Cumberland; contact info from State Dock's contact page:contentReference[oaicite:1]{index=1},
KY,Lee's Ford Marina & Resort,"451 Lee's Ford Dock Road, Nancy, KY 42544",J.D. Hamilton,606-636-6426,jd@leesfordmarina.com,Houseboat Marina & Resort,https://www.leesfordmarina.com,Marina offering houseboat rentals and repairs; contact J.D. Hamilton from Somerset-Pulaski Chamber listing:contentReference[oaicite:2]{index=2},
KY,Harbor Cottage Houseboats,"451 Lee's Ford Dock Road, Nancy, KY 42544",Jimmy Hamilton (GM),606-303-5741 (Sales); 606-383-1424 (Rentals),haborcottagehouseboats@gmail.com,Houseboat Builder & Rentals,https://www.harborcottagehouseboats.com,"Builder and rental of cottage-style houseboats; founded by JD Hamilton; contact includes Jimmy Hamilton, Tom Schmidt, and Kim Carrender:contentReference[oaicite:3]{index=3}",
KY,Burnside Marina (Safe Harbor),"680 West Lakeshore Drive, Burnside, KY 42519",Dennis Smith,606-561-4223,*,Houseboat & Marina Services,https://www.burnsidemarina.com,Marina with luxury houseboat rentals on Lake Cumberland; contact name Dennis Smith from Chamber listing:contentReference[oaicite:4]{index=4},
KY,Conley Bottom Resort & Marina,"270 Conley Bottom Road, Monticello, KY 42633",Rachel Piercy,606-348-6351,rachel@conleybottom.com*,Houseboat Marina & Resort,https://www.conleybottom.com,Resort and marina offering houseboat rentals and slips; contact Rachel Piercy from boat show listing:contentReference[oaicite:5]{index=5},
KY,Kentucky Dam Marina (Suntex),"466 Marina Drive, Gilbertsville, KY 42044",Nora Canon (GM) / Clare Froehlich (Admin),270-362-8386,kentuckydam@suntex.com,Houseboat Slips & Marina,https://kydammarina.com,Marina on Kentucky Lake with large boat slips; contact info and names from Waterway Guide and kydammarina.com:contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7},
KY,Lake Cumberland Marina (Alligator II),"2108 Highway 1383, Russell Springs, KY 42642",James Flatt (GM) / Michelle Maldonado (Office Mgr),270-866-6616,lakecumberlandmarina@gmail.com*,Houseboat Marina & Slips,https://www.lakecumberlandmarina.com,Formerly Alligator II marina; offers large houseboat slips; contact names from BBB listing:contentReference[oaicite:8]{index=8},
KY,Marina Rowena,"11565 KY Highway 558, Albany, KY 42602",David Dyson,606-206-7488,david@marinarowena.com,Houseboat Marina & Store,https://www.marinarowena.com,Marina on Lake Cumberland with houseboat slips; contact David Dyson (general manager) from AMI board listing:contentReference[oaicite:9]{index=9},
KY,Wolf Creek Marina (Suntex),"782 Island Ramp Road, Nancy, KY 42544",General Manager*,270-866-3634,wolfcreek@suntexmarinas.com,Houseboat Marina & Ship Store,https://wolfcreekmarina.com,Suntex-managed marina with large slips and houseboat services; contact details from contact page:contentReference[oaicite:10]{index=10},
KY,Beaver Creek Marina (Safe Harbor),"8929 KY-92, Monticello, KY 42633",General Manager*,606-348-7280,*,Houseboat Slips & Rentals,https://shmarinas.com/locations/safe-harbor-beaver-creek/,Safe Harbor marina on Lake Cumberland offering large slips and boat rentals; contact details from page bottom:contentReference[oaicite:11]{index=11},
KY,Safe Harbor Jamestown,"3677 South Hwy 92 East, Jamestown, KY 42629",General Manager*,270-285-0444,*,Marina & Resort,https://shmarinas.com/locations/safe-harbor-jamestown/,300-acre resort marina with large houseboat slips; contact address and phone from contact section:contentReference[oaicite:12]{index=12},
KY,Safe Harbor Grider Hill,"115 Grider Hill Dock Road, Albany, KY 42602",General Manager*,606-387-5501,*,Marina & Resort,https://shmarinas.com/locations/safe-harbor-grider-hill/,Safe Harbor marina with houseboat slips up to 110'; contact details from page bottom:contentReference[oaicite:13]{index=13},
KY,Sulphur Creek Resort,"3622 Sulphur Creek Road, Burkesville, KY 42717",Resort Office*,270-433-7272,*,Houseboat & Cabin Rentals,https://www.sulphurcreek.com,Resort on Dale Hollow Lake with houseboat and cabin rentals; contact phone and address from Kentucky tourism page,
KY,Houseboats Buy Terry,"270 Conley Bottom Road, Monticello, KY 42633",Terry Johnson*,606-340-8652,houseboatsbuyterry@yahoo.com,Houseboat Sales Broker,https://houseboatsbuyterry.com,Broker specializing in new and used houseboats; address and phone from boat dealer listing:contentReference[oaicite:15]{index=15},
KY,Trifecta Houseboats (Stardust Cruisers),"6775 East Hwy 90, Monticello, KY 42633",Sales Team*,606-340-3191,sales@trifectaboats.com,Houseboat Manufacturer,https://www.trifectahouseboats.com,"Manufacturer of large custom houseboats (Stardust, Sumerset, etc.); contact details from Trifecta Houseboats contact page:contentReference[oaicite:16]{index=16}",
LA,Diesel Parts Direct,"8784 S Choctaw Dr, Baton Rouge, LA 70815",Whit Kellam,225-928-1913,wkellam@dieselpartsdirect.com,Authorized Westerbeke dealer – sales & service,https://www.dieselpartsdirect.com,Authorized Westerbeke dealer supplying parts and marine generators (20–25 kW) and offering service,
LA,"The Diesel Man, LLC","2183 Philip Drive, Covington, LA 70433",Russell W. Cole Sr.*,985-400-5554,tdmservice@msn.com,Marine engine & generator sales and service,Not available*,Recreational marine dealer listed as Westerbeke/Yanmar representative; offers service and parts,
LA,"Junius Ship Shape, Inc.","7200 Lakeshore Dr, New Orleans, LA 70124",Cletus Junius,504-283-5520,JSS465@aol.com,Marine maintenance & Westerbeke service,Not available*,"Established in 1989; provides maintenance, repair, installations and boat deliveries; listed as a Westerbeke dealer",
LA,Hemard Marine Service,"136 Oak Ave, Westwego, LA 70094",Eugene Hemard,504-437-0906,Not provided*,Boat yard & Westerbeke service,Not available*,Operates a boat yard offering storage and incidental repair; listed as Westerbeke dealer in regional dealer list,
LA,McKoin Generator Service LLC,"108 Olive St, Monroe, LA 71201",Not specified*,318-855-4641,Not provided*,"Generator sales, service & installation",Not available*,Platinum Kohler dealer providing sales and service up to 20 kW generators; included on Westerbeke dealer list,
LA,Schubert's Marine,"126 South Roadway, West End Park, New Orleans, LA 70124",David Miller,504-282-8136,DavidM@schubertsmarine.com,Full-service marina & Westerbeke dealer,http://www.schubertsmarine.com,"Marina offering slips, rigging and full mechanical service; authorized Westerbeke dealer and service center",
LA,Sea Chest Marine,"7385 West Roadway St, New Orleans, LA 70124",Lawrence Sintes,504-909-4963,l_sintes@hotmail.com,Marine hardware & rigging; Westerbeke parts,Not available*,Family-run marine distributor supplying rigging and Westerbeke parts; contact details from local forum,
LA,Seabrook Harbor & Marine,"5801 France Rd, New Orleans, LA 70126",Jeff Moniz*,504-283-6001,Not provided*,"Shipyard, marina & Westerbeke service",https://seabrookharbor.com,Full-service shipyard and marina providing slips for large yachts and houseboats; listed as Westerbeke dealer,
MI,Advantage Marine Repair,"483 Douglas Avenue, Holland, MI 49424",*Service Manager*,616-748-9235,service@advantagemarinerepair.com,Boat repair & Westerbeke generator services,https://advantagemarinerepair.com,Authorized Westerbeke dealer; offers marine generator repair and onsite service,
MI,Anderson's Service Centers Inc.,"2363 Weadock HWY, Essexville, MI",*Unknown*,989-894-0552,ascinc@andersonsservice.com,Westerbeke dealer & service,*N/A*,Full-service marine shop; authorized Westerbeke service,
MI,Bay Harbor Marina,"5309 East Wilder Road, Bay City, MI 48706",Dale Gettel,989-684-5010,dave@bayharborbaycity.com,Full-service marina & repair,https://bayharborbaycity.com,458-slip marina; accommodates vessels up to 70 ft and offers engine repair,
MI,Burkhard's Marine Inc.,"7528 Jericho Road, Stevensville, MI",*Unknown*,269-876-0229,sksb1258@msn.com,Marine service & Westerbeke dealer,*N/A*,Full-service marine provider and authorized Westerbeke dealer,
MI,Colony Marine,"24530 Jefferson Avenue, St. Clair Shores, MI 48080",*Parts Manager*,586-772-3331,parts@colonymarine.com,"Boat sales, slips & generator service",https://colonymarine.com,Premier dealer offering parts and service; provides marine generator repair,
MI,Crosswinds Marine Service,"302 South Lake Street, Whitehall, MI 49461",Dale *,231-894-4549,dale@crosswindsmarineservice.com,Full-service marina & Westerbeke-certified,https://crosswindsmarineservice.com,Factory-certified Westerbeke technicians; slips 30–50 ft with transients up to 105 ft,
MI,Damark Marine Specialties,"29021 Wilson Avenue, Gibraltar, MI",*Unknown*,734-676-2880,damarkmarine@hotmail.com,Marine specialties & Westerbeke dealer,*N/A*,Authorized Westerbeke dealer and marine supply firm,
MI,Drummond Marine Inc.,"435 W 17th Street, Holland, MI",*Unknown*,616-494-0814,drummondmarine@sbcglobal.net,Marine service & Westerbeke dealer,*N/A*,Full-service marine repair and authorized Westerbeke dealer,
MI,Irish Boat Shop (Charlevoix),"13000 Stover Road, Charlevoix, MI 49720",*Unknown*,231-547-9967,cvxparts@irishboatshop.com,Boat shop & large-haul service,https://irishboatshop.com,Operates travelifts up to 50 ton and services boats up to 75 ft,
MI,Irish Boat Shop (Harbor Springs),"400 E. Bay Street, Harbor Springs, MI 49740",JB Booth*,231-526-6225,jbbooth@irishboatshop.com,Boat shop & large-haul service,https://irishboatshop.com,Harbor Springs yard with 35 ton travel lift; technicians trained on various engines,
MI,Jefferson Beach Yacht Sales (JBYS),"24400 Jefferson, St. Clair Shores, MI 48080",D. Ottenhoff*,866-490-5297,dottenhoff@jbys.com,Yacht sales & full service,https://jbys.com,Yacht dealership providing maintenance and Westerbeke generator support,
MI,Longitude Marine,"23710 Harper Avenue, St. Clair Shores, MI 48080",*Unknown*,586-601-8677,info@longitudemarine.com,Marine diesel & generator repair,https://longitudemarine.com,Offers marine diesel parts and repair including generators,
MI,Michigan Yacht Service LLC,"31785 South River Road, Harrison Township, MI 48045",Garrett Cassidy,586-469-4131,michiganyachtservice@gmail.com,Westerbeke-certified yacht service,https://www.michiganyachtservice.com,"Certified dealership for Westerbeke, Kohler and other brands",
MI,Mobile Marine Service,"01032 Advance Road South, East Jordan, MI",*Unknown*,231-536-2872,mobilemarine@twin-valley.net,Mobile boat repair & Westerbeke service,*N/A*,Mobile marine service; authorized Westerbeke dealer,
MI,Northport Bay Boatyard,"10824 North Shore Drive, Northport, MI 49670",R. Thyer*,231-386-5151,rthyer@npbby.com,Boatyard & Westerbeke dealer,*N/A*,Provides boat storage and repair; authorized Westerbeke dealer,
MI,Onekama Marine,"4378 Crescent Beach Road, Onekama, MI 49675",Carrie Paxton,231-889-5000,carrie@onekamamarine.com,Full-service marina & repair,https://onekamamarine.com,110-slip marina accommodating boats up to 70 ft with fuel and repair services,
MI,Sassy Marina LLC,"9000 Merrill Drive, Algonac, MI 48001",Liz*,810-794-9333,john@sassymarina.com,Large marina & repair facility,https://sassymarina.com,200-slip marina with 100-ton and 60-ton travel lifts; offers repairs and generator service,
MI,Shepler's Marine Services,"121 South Huron, Mackinaw City, MI 49701",*Unknown*,231-436-7287,jwillis@sheplersferry.com,Marine repair & travel lift,https://sheplersmarineservice.com,Provides hull and engine repair with 75‑ton travel lift; serves large vessels,
MI,SkipperBud's Grand Haven,"11 Harbor Island Drive, Grand Haven, MI 49417",*Service Manager*,616-997-2628,ghservice@skipperbuds.com,Marina & service center,https://www.skipperbuds.com,"Provides dockage, fuel and marine service; Westerbeke support inferred",
MI,Slater Yacht Service,"106 South Park Street, Spring Lake, MI 49456",Wade,616-844-7041,wade@slateryacht.com,Yacht repair & Westerbeke service,https://slateryacht.com,Full-service yacht repair including engine and generator maintenance,
MI,South River Service,"30099 S. River, Harrison Township, MI 48045",Gerry,586-783-6600,gerry@southrivermarine.com,Marine service & storage,https://southrivermarine.com,Full-service marina and storage facility providing engine and generator repair,
MI,Toad Marine Supply,"6627 Dyke Road, Clay Township, MI 48001",*Customer Service*,810-671-3365,customerservice@toadmarinesupply.com,Marine parts supplier,https://www.toadmarinesupply.com,Parts/internet retailer; supplies Westerbeke generator parts and accessories,
MI,"Torresen Marine, Inc.","3003 Lakeshore Drive, Muskegon, MI 49441",*Kathleen*,231-759-8596,kathleen@torresen.com,Authorized engine & generator service,https://torresen.com,Authorized sales and service center for Westerbeke engines and generators,
MI,Walstrom Marine,"501 Bay Street, Harbor Springs, MI 49740",M. Sabo*,231-526-2141,msabo@walstrom.com,"Boat sales, service & storage",https://walstrom.com,"Full-service marina offering sales, service, storage and fuel dock",
MI,Wriska Marine Service,"24102 Jefferson Avenue, St. Clair Shores, MI 48080",M. Mahoney*,586-778-7850,mahoneym2@comcast.net,Marine service & Westerbeke dealer,*N/A*,Full-service marine repair and authorized Westerbeke dealer,
MN,Lake Vermilion Houseboats,"9482 Angus Rd, Tower, MN 55790",N/A*,218-753-3548,info@vermilionhouseboats.com,Houseboat rentals (40–65 ft vessels with generator),https://vermilionhouseboats.com,"Offers houseboats ranging from 40–65 ft that come standard with kitchen, bathroom, shower, and generator:contentReference[oaicite:0]{index=0}. Contact info from site:contentReference[oaicite:1]{index=1}.",
MN,Voyagaire Lodge & Houseboats,"7576 Gold Coast Rd, Crane Lake, MN 55725",N/A*,218-993-2266,info@voyagaire.com,Luxury houseboat rentals (912‑sq‑ft boats with built-in generator),https://www.voyagaire.com,"Luxury houseboats (Yatzia 600 and Northern Belle 630) sleep 10–12 people, include built‑in generator and full amenities:contentReference[oaicite:2]{index=2}:contentReference[oaicite:3]{index=3}. Contact info from site:contentReference[oaicite:4]{index=4}.",
